title,workload,url,school,registered_people,rating,instructor
Curso SOLID com PHP: princípios da programação orientada a objetos,6,https://www.alura.com.br/curso-online-solid-php-principios-orientacao-a-objetos,Programação,4980,9.5,Vinicius Dias
Curso Mocks em PHP: entenda os dublês de testes,10,https://www.alura.com.br/curso-online-php-mocks,Programação,1921,9.3,Vinicius Dias
Curso PHP na Web: lidando com segurança e API,8,https://www.alura.com.br/curso-online-php-web-lidando-seguranca-api,Programação,1303,9.5,Vinicius Dias
Curso PHP na Web: aplicando boas práticas e PSRs,8,https://www.alura.com.br/curso-online-php-web-aplicando-boas-praticas-psrs,Programação,892,9.3,Vinicius Dias
Curso Testes de integração com PHP: testando o acesso à API e ao banco de dados,8,https://www.alura.com.br/curso-online-php-testes-integracao,Programação,2080,9.5,Vinicius Dias
Curso Design Patterns em PHP: padrões comportamentais,8,https://www.alura.com.br/curso-online-php-design-pattern-comportamental,Programação,3410,9.5,Vinicius Dias
Curso Design Patterns em PHP: padrões estruturais,8,https://www.alura.com.br/curso-online-php-design-pattern-estrutural,Programação,2007,9.5,Vinicius Dias
Curso Design Patterns em PHP: padrões criacionais,8,https://www.alura.com.br/curso-online-php-design-pattern-criacional,Programação,1820,9.5,Vinicius Dias
Curso Doctrine: conhecendo um ORM PHP,8,https://www.alura.com.br/curso-online-doctrine-conhecendo-orm-php,Programação,1249,9.4,Vinicius Dias
"Curso Doctrine: Migrations, relatórios e performance",8,https://www.alura.com.br/curso-online-doctrine-migrations-relatorios-performance,Programação,504,9.5,Vinicius Dias
Curso Symfony Framework: cache e segurança,10,https://www.alura.com.br/curso-online-symfony-framework-cache-seguranca,Programação,373,9.3,Vinicius Dias
Curso Symfony Framework: criando uma aplicação com MVC,8,https://www.alura.com.br/curso-online-symfony-framework-criando-aplicacao-mvc,Programação,647,9.4,Vinicius Dias
"Curso Symfony Framework: formulários, validação e sessão",10,https://www.alura.com.br/curso-online-symfony-framework-formularios-validacao-sessao,Programação,432,9.4,Vinicius Dias
"Curso Symfony Framework: lidando com eventos, tradução, logs e deploy",10,https://www.alura.com.br/curso-online-symfony-framework-eventos-traducao-logs-deploy,Programação,270,9.1,Vinicius Dias
Curso PHP na Web: conhecendo o padrão MVC,10,https://www.alura.com.br/curso-online-php-web-conhecendo-padrao-mvc,Programação,1882,9.4,Vinicius Dias
